age,ed,employ,address,income_transformed,debtinc,creddebt_transformed,othdebt_transformed,default
52,1,6,9,29000,16.3,1715.9,3011.1,0
48,1,22,15,100000,9.1,3703.7,5396.3,0
36,2,9,6,49000,8.6,817.52,3396.48,1
36,2,13,6,41000,16.4,2918.22,3805.78,1
43,1,23,19,72000,7.6,1181.95,4290.05,0
39,1,6,9,61000,5.7,563.27,2913.73,0
41,3,0,21,26000,1.7,99.01,342.99,0
39,1,22,3,52000,3.2,1154.82,509.18,0
47,1,17,21,43000,5.6,587.55,1820.45,0
28,1,3,6,26000,10,431.6,2168.4,0
29,1,8,6,27000,9.8,402.19,2243.81,0
21,2,1,2,16000,18,241.92,2638.08,1
25,4,0,2,32000,17.6,2140.16,3491.84,0
45,2,9,26,69000,6.7,707.32,3915.68,0
43,1,25,21,64000,16.7,951.23,9736.77,0
33,2,12,8,58000,18.4,3084.21,7587.79,0
26,3,2,1,37000,14.2,204.91,5049.09,0
45,1,3,15,20000,2.1,105,315,0
30,1,1,10,22000,10.5,1138.83,1171.17,0
27,3,2,7,26000,6,722.28,837.72,0
25,1,8,4,27000,14.4,1018.66,2869.34,0
25,1,8,1,35000,2.9,77.14,937.86,0
26,2,6,7,45000,26,6048.9,5651.1,0
30,2,10,4,22000,16.1,1409.72,2132.28,0
32,2,12,1,54000,14.4,3195.94,4580.06,0
28,2,1,8,24000,17.1,1337.9,2766.1,1
45,1,23,5,50000,4.2,558.6,1541.4,0
23,1,7,2,31000,6.6,337.59,1708.41,0
34,1,17,3,59000,8,1807.76,2912.24,0
42,2,7,23,41000,4.6,941.11,944.89,0
39,1,19,5,48000,13.1,1930.42,4357.58,0
26,1,0,0,14000,7.5,302.4,747.6,1
21,2,0,1,16000,6.8,150.14,937.86,0
35,1,13,15,35000,4.5,431.55,1143.45,0
47,1,4,2,26000,10.4,121.68,2582.32,0
23,2,0,2,21000,11.4,775.66,1618.34,1
35,1,18,2,42000,7.4,205.13,2902.87,0
34,1,2,11,25000,12.6,573.3,2576.7,1
46,1,1,12,20000,14,809.2,1990.8,0
46,1,16,18,52000,12.9,3032.02,3675.98,1
38,3,3,18,25000,3.7,311.73,613.28,0
40,2,3,2,28000,9.5,553.28,2106.72,0
37,1,1,3,24000,15.1,1801.13,1822.87,1
35,1,9,1,34000,5,397.8,1302.2,0
39,2,16,13,69000,2.4,1061.5,594.5,0
40,3,18,6,100000,2.5,1485,1015,0
50,3,10,20,80000,12.2,2479.04,7280.96,0
31,1,9,10,28000,2.4,47.71,624.29,0
29,1,13,1,42000,7.4,1457.65,1650.35,1
37,1,4,0,23000,12.4,869.86,1982.14,0
33,2,4,9,55000,7,2159.85,1690.15,0
26,2,5,7,28000,7.8,1024.3,1159.7,0
32,2,11,6,75000,23.3,7758.9,9716.1,1
28,2,2,3,23000,6.4,186.94,1285.06,1
39,1,19,8,46000,9.1,2515.79,1670.21,0
28,2,8,3,31000,8.2,1492.15,1049.85,1
29,1,1,2,20000,18.6,569.16,3150.84,1
34,2,3,8,21000,23.1,1401.94,3449.06,0
28,2,5,9,34000,23.8,3099.24,4992.76,0
47,1,26,21,100000,12.8,4582.4,8217.6,0
43,4,1,5,26000,10.6,1518.56,1237.44,0
41,1,13,10,44000,1.7,71.06,676.94,0
47,1,13,25,51000,23.8,3738.5,8399.5,0
24,1,2,1,21000,0.6,25.07,100.93,0
29,1,1,9,17000,6.7,157.18,981.82,0
33,1,14,2,37000,2.6,199.13,762.87,0
36,1,15,10,39000,3.2,686.4,561.6,0
26,1,4,3,27000,10.5,2472.12,362.88,1
31,1,11,12,45000,17,2738.7,4911.3,0
37,1,7,3,32000,19.6,2696.96,3575.04,0
35,4,4,16,29000,11,1843.82,1346.18,0
26,1,4,3,20000,5.4,318.6,761.4,0
40,1,10,15,45000,18.8,2013.48,6446.52,0
29,2,5,4,36000,12.4,3490.85,973.15,1
37,3,5,17,29000,24.6,1405.4,5728.6,0
32,1,12,12,28000,2.9,116.12,695.88,0
23,2,0,1,17000,27.7,2043.71,2665.29,1
32,1,3,10,23000,6.2,52.76,1373.24,0
25,1,1,6,15000,11.4,371.07,1338.93,1
38,1,5,5,54000,10.6,1499.69,4224.31,0
32,2,0,6,18000,5.8,296.5,747.5,1
41,3,2,0,15000,26.3,1960.67,1984.34,1
36,1,17,6,54000,4.4,727.06,1648.94,0
42,3,13,0,82000,3.3,1315.12,1390.88,0
41,1,14,8,52000,7.3,926.22,2869.78,0
29,2,4,9,19000,6.3,681.09,515.91,0
38,3,4,6,31000,9.3,1331.95,1551.05,1
39,1,22,9,113000,2.6,987.17,1950.83,0
36,1,6,9,26000,8.3,30.21,2127.79,0
33,1,8,7,27000,5.8,776.74,789.26,0
42,2,21,11,121000,3.1,1365.36,2385.64,0
41,2,22,17,75000,23.6,9876.6,7823.4,0
40,1,8,17,28000,3.6,534.24,473.76,0
53,1,9,18,50000,11.2,2016,3584,1
28,1,4,7,26000,13.5,1295.19,2214.81,0
